ID,Sentiment,Tweet
90,Neutral,I hate that this easy mayhem modifier event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS
91,Neutral,I hate that this simple Chaos Modifier event on Chaos won't last forever. That's the most fun I've had in the game since they added terrible modifiers. @ Borderlands please give me the option to play Chaos 10 but turn off the modifiers.
92,Neutral,I hate that this easy mayhem modifier event on mayhem won't last forever. this is the most fun i've had in the game since they added them horrible modifiers. @ Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS
93,Neutral,I hate saying this easy day 9 event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me some ability to play mayhem 10 but turn the modifiers off PLS
94,Neutral,I hate thinking that this easy mayhem modifier event on total mayhem won ’ t last forever. this is the absolutely most ridiculous fun experience i ’ ve had in the game almost since... they added them horrible modifiers. @Borderlands please do give me the option option to a play mayhem 10 but turn the modifiers off PLS
95,Neutral,I hate that this easy horrible modifier event on game 10 last forever. That is the best fun i’ve taken in the past until they added them horrible modifiers. @Borderlands please send me the option to play mayhem 10 but turn the modifiers for PLS
162,Neutral,"Already loving Bleeding Edge... what a clever game! Cross between Overwatch, Borderlands and Domination game mode. Cool as!. .  "
163,Neutral,"I love Bleeding Edge... what a clever game! Crossroads of Overwatch, Borderlands and Domination game mode. Cool as!.."
164,Neutral,"Cross between Overwatch, Borderlands and Domination game mode. Cool as!."
165,Neutral,"Already loving Bleeding Edge... what a fun game! Cross between Overwatch, Borderlands and Xbox game mode. Cool as!.."
166,Neutral,"Already also loving the Bleeding Edge... what is a clever game! Cross between Overwatch, Borderlands and Future Domination game mode. 2016 Cool out as!.."
167,Neutral,"Already played Bleeding Edge... what a clever game! Cross between fantasy, Borderlands non Domination game mode. Playing as!.."
180,Neutral,"For some reason, my laptop can run Borderlands 3, War thunder and Warframe all on high settings.. . BUT. . The moment I even try to even launch Csgo my entire computer crashes..."
181,Neutral,"For some reason my laptop can run Borderlands 3, War Thunder and Warframe at high settings... BUT.. the moment I even try to start Csgo, my entire computer crashes..."
182,Neutral,"For some reason, my laptop can run Borderlands 3, War Thunder, and Warframe at high settings.. BUT... The moment I even try to run CSgo, my whole computer breaks down..."
183,Neutral,"For some reason, my Firefox can run Borderlands 3, War thunder plus Warframe all on high settings... no.. The moment I even try to even launch Csgo its entire computer crashes..."
184,Neutral,"For some reason, my laptop can easily run Borderlands Volume 3, Chaos War thunder and Warframe all currently on high settings... A BUT.. A The moment I even dare try to even launch Csgo to my mind entire computer crashes..."
185,Neutral,"For some reason, my software can mount Act 3, War thunder King Thunder all on high speeds... BUT.. The moment I even try to even launch from my entire computer crashes..."
192,Neutral,i enter that gunner seat and i fear for my life
193,Neutral,I step into the trench and fear for my life
194,Neutral,i enter that gunner seat and i fear for my life
195,Neutral,i enter that gunner seat and actually fear for my life
196,Neutral,i then enter in that gunner seat and i fear for my life
197,Neutral,i enter that gunner seat and i fear for a life
210,Neutral,update 2: i thwarted the bank and now own borderlands 3
211,Neutral,update 2: I foiled the bank and now own borderlands 3
212,Neutral,update 2: i threatened the bank and now own borderlands 3
213,Neutral,update 2: i thwarted the bank who now own borderlands 3
214,Neutral,update 2 : i thwarted on the late bank trip and now own borderlands 3
215,Neutral,update 2: i thwarted the bank we now own borderlands 3
252,Neutral,Slutty mechanic... Im im...  
253,Neutral,Slutty mechanic... Im im im im...
254,Neutral,Slutsky......
255,Neutral,Slutty mechanic... by im...
256,Neutral,Slutty old mechanic... Where Im im...
257,Neutral,Slutty mechanic... and im...
288,Neutral,"Modern Warfare For $38, Borderlands 3 For $20, And More Great Game Deals (PS4, Xbox One, Switch) unsorted.co/modern-warfare… https://t.co/2n68qoJKhU"
289,Neutral,"Modern Warfare for $38, Borderlands 3 for $20 and other great games (PS4, Xbox One, Switch) unsorted.co / modern-warfare... https: / / t.co / 2n68qoJKhU"
290,Neutral,"Modern Warfare for $38, Borderlands 3 for $20, And More Great Game Deals (PS4, Xbox One, Swift) unsorteco / modern-warfare..."
291,Neutral,"Modern Warfare Not $38, Borderlands For For $20, All More Great Game Gear (PS4, Xbox One, Switch) unsorted.co/modern-warfare… https://t.co/2n68qoJKhU]"
292,Neutral,"Modern Warfare 11 For $ 38, Borderlands 3 For $ 20, 200 And More Great Nintendo Game Group Deals ( PS4, Xbox One, Nintendo Switch ) also unsorted. See co / w modern - warfare database … https://t.co/2n68qoJKhU ]"
293,Neutral,"Modern Warfare For $38, Borderlands Online For $20, And More Great Good Deals (PS4, Compact Multi, Switch) now.co/modern-warfare... at]"
330,Neutral,"Hey borderlands mutuals fam, sorry I've not been interacting as directly and playing games as much as I had been but I love ya'll too so much. Thank you for reminding me fandom isn't just a giant cesspool. Thank you for having such cute characters to look forward to seeing and--"
331,Neutral,"Hey borderlands mutuals fam, sorry, I didn't interact and play games as directly as I was, but I love you too much. Thank you for reminding me that fandom is not just a huge cesspool. Thank you for having such nice characters to look forward to."
332,Neutral,"Hey borderlands mutuals fam, sorry I've not been interacting as directly and playing games as much as I had but I love ya'll too much. Thank you for reminding me fandom is not just a giant cesspool. Thank you for having such cute characters to look forward to see and--"
333,Neutral,"Hey borderlands mutuals fam, sorry I've not been interacting as directly and playing games as much as I had been but did love ya'll too so much. Thank you for telling me fandom isn't just this giant cesspool. Thank you for posting such amazing content to look forward to seeing and--"
334,Neutral,"Lee Hey borderlands mutuals fam, sorry I've not been interacting as directly and or playing games as fun much as I had really been but I really love ya'll too so much. Thank you for reminding me fandom game isn't just a giant time cesspool. I Thank you for having such cute little characters to look much forward to seeing and - -"
335,Neutral,"great borderlands mutuals fam, sorry I've not been interacting as directly and playing not as hard if I had been but I love ya'll too so much. Thank you for reminding me fandom isn't just a global cesspool. thanks for<unk> having more awesome characters to look forward to seeing and--"
342,Neutral,"Borderlands 3: Guns, Love, And Tentacles: 10 Best New Legendary Weapons, Ranked ift.tt/2Xj2rmu  "
343,Neutral,"Borderlands 3: Weapons, Love and Tentacles: 10 best new legendary weapons, rank ift.tt / 2Xj2rmu"
344,Neutral,"Borderlands 3: Get, Love, And Tentacles: 10 Best New Legendary Weapons, Ranked i.tt / 2Xj2r.com"
345,Neutral,"Borderlands 2018: Guns, Love, And Tentacles: 10 Great New Legendary Weapons, Ranked live.tt/2Xj2rmu"
346,Neutral,"10 Borderlands 3 : Black Guns, Blind Love, Words And Tentacles : 2010 10 Best New Legendary Assault Weapons, Ranked ift. tt / 2Xj2rmu"
347,Neutral,"Borderlands With Guns, Metal, And Tentacles: 10 En<unk> Secret Weapons, Ranked ift.tt/2Xj2rmu"
366,Neutral,"Messed up downloading the new borderlands 3 dlc yet again. Assume the update was the patch and dlc, but like the previous dlc even with the season pass it has to be manually added from ps store and downloaded"
367,Neutral,"Suppose the update was the patch and the dlc, but like the previous dlc it has to be added and downloaded manually from the ps store even with the season card."
368,Neutral,"Suppose that the update was a patch and a patch, but, as in the previous case, even with a subscription, it has to be manually added from the store and downloaded"
369,Neutral,"Messed up downloading the new borderlands 3 dlc yet again. Assume the update is the patch and dlc, but like the previous one even with the season pass this has to be immediately added from ps store and downloaded"
370,Neutral,"Messed up downloading the new borderlands 3 dlc update yet again. Assume the update never was the patch and dlc, but feels like doing the whole previous dlc even with getting the final season to pass it now has to be manually added later from ps store and downloaded"
371,Neutral,"Messed up downloading completely new borderlands as dlc yet again. Assume the update was the patch and dlc, but like any 3 dlc even with the conditional pass patch has eventually be manually added from ps store and made"
378,Neutral,I’ve done nothing but play borderlands 3 for the last 13 hours and I’m still not done. I STARTED AT CHAPTER 8 AND IM ONLY ON 20. this game is unnecessarily long.
379,Neutral,I haven't done anything other than play Borderlands 3 for the last 13 hours and I'm still not done. I START AT CHAPTER 8 and ONLY ON THE 20th. This game is unnecessarily long.
380,Neutral,I've been playing Borderlands 3 for the last 13 hours and still haven't finished.
381,Neutral,I’ve done nothing but play borderlands 3 shit the last 13 hours and I’m still not done. I STOP AT CHAPTER 7 AND IM DEAD ON 20. this game is unnecessarily long.
382,Neutral,I I ’ ve done nothing but to play borderlands 3 times for the last 13 hours already and I ’ m still not even done. I STARTED AT CHAPTER 8 AND IM ONLY ON February 20. Like this game is just unnecessarily damned long.
383,Neutral,I’ve done nothing but play borderlands 3 for the last 13 years that I’m still fucking moving. I STARTED AT CHAPTER 8 AND IM ONLY ON YOUR. this letter is unnecessarily long.
402,Neutral,"I'm so damn sorry for the stupid short stream, i don't feel up to streaming today. I just have this stupid headache that won't fuck off. . . We sent the love over to @Quietachvment who's playing some Borderlands 3. . . Keep tabs on socials, I'll probably see you Thursday!"
403,Neutral,"I'm so damn sorry for the stupid short stream, I don't feel like streaming today. I just have these stupid headaches that can't be damned... We sent love to @ Quietachvment who plays some Borderlands 3... Keep the social media registers, I'll probably see you on Thursday!"
404,Neutral,"I'm so damn sorry for the stupid short stream, I don't feel like streaming today. I just have this stupid head that won't come off... We sent our love to @ Quicktachement who plays Borderlands 3... Keep tabs on social media, I'll probably see you on Thursday!"
405,Neutral,"I'm so seriously sorry for the record short stream, i don't feel up to streaming today. I just fighting this stupid headache that won't fuck off... We sent the love over to @Quietachvment who's playing great Borderlands 3... Definitely active on socials, I'll probably see you Thursday!"
406,Neutral,"I'm so damn sorry for the stupid short stream, but i don't feel up to streaming today. and I just have this stupid headache that it won'the t fuck right off... I We sent the love over to @Quietachvment and who's playing on some chick Borderlands 3... Keep tabs on socials, I'll probably see with you Thursday!"
407,Neutral,"I'm so damn adverse to the whole short delay, i don't step up to streaming actually. I just have this stupid headache that doesn't fuck off... Chris sent the blanket over to Lauren who's playing some Borderlands 3... Keep tabs on socials, I'll probably see you Thursday!"
432,Neutral,Borderlands 3 - Krieg Meets Maya (Psycho Krieg and the Fantastic Fustercluck DLC). youtube.com/watch?v=o4JfCk….  
433,Neutral,Borderlands 3 - Krieg Meets Maya (Psycho Krieg and the Fantastic Fustercluck DLC). youtube.com / watch? v = o4JfCk....
434,Neutral,Borderlands 3 - Meets Maya (Psycho). youtube.com / watch? v = o4JfCk....
435,Neutral,Borderlands Premiere - Krieg Meets Maya and Krieg and the Fantastic Beast DLC). youtube.com/watch?v=o4JfCk….
436,Neutral,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….
437,Neutral,Borderlands Beyond - Scott Meets Me (Psycho Wave vs the Fantastic Fustercluck 5). Buy.com/watch?v=o4JfCk....
438,Neutral,"Idk how I'm gonna do this online class shit. . I was trying to play some borderlands today, and my xbox has been on for like 5 hours with my controller disconnected while I browse Instagram and try and plan out my next semester of classes. . . Imagine if this was a class..."
439,Neutral,"I tried to play a few Borderlands today, and my Xbox has been on for about 5 hours with my controller turned off while I'm surfing Instagram and trying to plan my next semester... Imagine it was a class..."
440,Neutral,I was trying to play some borderline games today and my xbox was turned on for about 5 hours with the controller turned off while I was browsing Instagram and trying to plan my next semester... Imagine if it was a class...
441,Neutral,"Idk how I'm gonna do this online class shit.. I am trying to play some borderlands today, and my xbox + been on for like 5 hours with my controller disconnected while I browse Instagram and Netflix and plan out my next semester of classes... because if this took a class..."
442,Neutral,"Idk how I'ya m gonna do this online class shit.. I was trying desperately to play some borderlands today, and my xbox has barely been on for like 5 ½ hours but with my touch controller disconnected while here I browse Instagram and try harder and plan out having my next real semester of classes... Imagine if this was a class..."
443,Neutral,"<unk> but I'm supposed do my online class shit.. Here was trying to play some borderlands today, now my xbox has been on for like 5 PM with my controller disconnected as I browse Instagram and try and try out this next semester of classes... Imagine if this was a class..."
456,Neutral,does fall damage canonically exist in the borderlands universe
457,Neutral,Fall Damage Is Canonically in the Borderland Universe
458,Neutral,whether the damage to the fall is canonical in the frontier universe
459,Neutral,does fall damage canonically exist in the borderlands?)
460,Neutral,it does fall damage we canonically exist in the borderlands universe
461,Neutral,does fall damage canonically occur in the borderlands universe
468,Neutral,A nerf gun painted to look like a  
469,Neutral,A Nerf pistol painted to look like a gun
470,Neutral,A pistol designed to look like a gun
471,Neutral,A nerf gun painted to appear like a
472,Neutral,A nerf gun painted to look less like a
473,Neutral,A nerf gun invented to look like a
474,Neutral,I am so exhausted from work this week so probably no borderlands stream today i’m SO SORRY . 
475,Neutral,I'm so exhausted from work this week that I probably won't be able to flow anymore and I'm SO SORRY.
476,Neutral,"I'm so tired of working this week that there's probably no border flow today, I'm SO SORRY."
477,Neutral,I am so exhausted from work this week being probably no borderlands stream today i’m SO stoked.
478,Neutral,30 I am now so exhausted from work just this week or so probably no borderlands stream today i I ’ m SO SORRY.
479,Neutral,I am still exhausted from work this Saturday so probably no borderlands stream and i’m SO SORRY.
486,Neutral,Tales from the Borderlands swaggiedeals.com/product/tales-…
487,Neutral,Stories from the border swaggiedeals.com / product / tales-...
488,Neutral,Tales from the Borderlands swagdeals.com / product / tales-...
489,Neutral,Tales over the Borderlands Factory.com/product/tales-…
490,Neutral,Tales from Behind the Borderlands at swaggiedeals. com / www product / tales - …
491,Neutral,looking at the Kitchen swaggiedeals.com/product/tales-...
498,Neutral,"Guns, Love, and Tentacles is out now, and here are 5 reasons we're excited to  "
499,Neutral,"Guns, Love, and Tentacles is out now, and here are 5 reasons why we're excited"
500,Neutral,"GB, Love, and Tentacles is out now, and here are 5 reasons we're excited to"
501,Neutral,"Guns, Love, and Sex is out now, and here are 5 reasons not excited to"
502,Neutral,"Guns, Love, Speed and Tentacles is out now, and here are with 5 main reasons we'D re excited to"
503,Neutral,"Guns, Love, and Music is up now, and here are four reasons we're excited to"
516,Neutral,. :: Ah yes. A very very old image of demon Lottie from when they were still a borderlands oc pic.twitter.com/PuW3XjWuro
517,Neutral,.:: Ah yes. A very old picture of Demon Lottie from the time when they were still a border country oc pic.twitter.com / PuW3XjWuro
518,Neutral,:: Ah yes. A very old image of Lottie's demon from when they were still border guards.
519,Neutral,. :: Ah yes. A very very old image of demon Lottie from when they were still a borderlands oc pic.twitter.com/PuW3XjWuro
520,Neutral,IBM . :: Ah yes. A very very old image of demon Lottie from when they were still a borderlands oc pic.twitter.com/PuW3XjWuro
521,Neutral,on
552,Neutral,Trying out  
554,Neutral,Trying to get out
555,Neutral,Trying it
556,Neutral,Trying it out
557,Neutral,you out
558,Neutral,"Today’s Best Game Deals: FIFA 20 $18, Borderlands Handsome $15, more – 9to5Toys uk.googlehits.com/as-we-speaks-f…"
559,Neutral,"The best gaming deals today: FIFA 20 $18, Borderlands Handsome $15, more - 9to5Toys uk.googlehits.com / as-we-speak-f..."
560,Neutral,"The best deals so far: FIFA 20 $18, Borderlands Handsome $15, more - 9to5Toys uk.googfcits.com / as-we-speak-f..."
561,Neutral,"Today’s Best Game Movies: FIFA 13 $18, Borderlands 8 $15, more – 9to5Toys 10.googlehits.com/as-we-speaks-f…"
562,Neutral,"Today ’ ′ s Show Best Game Winner Deals : FIFA 20 $ 18, against Borderlands 2 Handsome $ 15, more as – 9to5Toys 2016 uk. Retrieved googlehits. com / sales as - we - speaks - f …"
563,Neutral,"your Best FIFA Deals: FIFA 20 1, The Handsome 5, Play – via uk.googlehits.com/as-we-speaks-f..."
570,Neutral,i kno borderlands handled zer0 being nonbinary kinda shittily with them being most likely nonhuman (?) to start and then forgetting their pronouns in tftbl but i still rlly like zer0 and am happy to have them :-) same with fl4k i love them too and they're both playable mcs so
571,Neutral,i kno borderlands handling zer0 being nonbinary kind shitty with they are most likely inhuman (?) to start and then forget their pronouns in tftbl but i rlly like zer0 and me happy to have them: -) same with fl4k I love them too and they are both playable mcs so
572,Neutral,"i kno borderlands managed zer0 being nonbinary kinda shittily with them being most likely non-human (?) to start and then forget their pronobel in t, but i still rlly like zer0 and am happy to have them: -) same with fl4k i love them too and they're both playable mso"
573,Neutral,"i kno borderlands handled zer0 be nonbinary kinda easier than them being most definitely nonhuman (?) to start and then forgetting their pronouns in tftbl but i still rlly like zer0 and am happy to have them, same with fl4k i read them too and they're both playable mcs so"
574,Neutral,i kno The borderlands handled zer0 only being nonbinary but kinda i shittily with them being too most likely non nonhuman (? ) to start and then usually forgetting their pronouns in tftbl but i still rlly like zer0 and g am happy to have them : - ) t same with fl4k i love into them too and they're both playable mcs so
575,Neutral,i kno c handled zer0 being bad kinda shittily with me being most likely nonhuman (?) to start and then forgetting their worth in tftbl but i still rlly like zer0 and was trying to enjoy them :-) same with fl4k i liked them well and they're both playable mcs the
588,Neutral, . .  .  .  .  .  
590,Neutral,........
591,Neutral,..    . . .
592,Neutral,......
593,Neutral,......
606,Neutral,GameSpot: Borderlands 3's DLC Dismisses Major Problems With Lovecraft's Work ift.tt/39qpeiS
607,Neutral,GameSpot: Borderlands 3's DLC rejects major issues with Lovecraft's work ift.tt / 39qpeiS
608,Neutral,GameSpot: DLC's Borderlands 3 fires protagonists over Lovecraft i.tt / 39qS
609,Neutral,GameSpot: Borderlands 3's DLC Dismisses Major Problems - Lovecraft's Dream ift.tt/39qpeiS
610,Neutral,Official GameSpot : Lost Borderlands 3's DLC Dismisses Major Problems Running With Lovecraft's Underground Work as ift. 0 tt / 39qpeiS
611,Neutral,GameSpot: Fantasy III's Music has Major Problems With Lovecraft's Work ift.tt/39qpeiS
636,Neutral,playing borderlands 3 before 2 was a mistake bc now i know who dies ):. also now when i replay 3 im gonna be A MESS at the end...
637,Neutral,"To play Borderlands 3 before 2 was a mistake bc now I know who dies): even now if I replay 3, I will end up A MESS..."
638,Neutral,playing borderlands 3 before 2 was a mistake bc now i know who dies):. also now when i replay 3 im gonna be A MESS at the end...
639,Neutral,playing borderlands 3 before 2 was a mistake bc now i know who dies ):. also being that i replay 3 im gonna get A MESS at the end...
640,Neutral,playing borderlands because 3 before 2 was a final mistake bc now all i know who dies ) :. also now when won i play replay 3 im be gonna be A G MESS at the end...
641,Neutral,playing those 3 vs 2 was a struggle bc now i know who dies ):. also because when i replay that im gonna be A MESS at the beginning...
648,Neutral,Morning~!!. I'm split on playing PSO2 or Borderlands 3 for todays stream. 🤔. Either way a stream today is happening and I'm excited to hang out nonetheless!!. Hope your weekend was well. .  :3 pic.twitter.com/X0CrvuK8Pq
649,Neutral,"Tomorrow ~!!. I'm split when it comes to playing PSO2 or Borderlands 3 for today's stream. Either way, a stream is underway today and I'm still looking forward to hanging out!!. Hope your weekend was good...: 3 pic.twitter.com / X0CrvuK8Pq"
650,Neutral,Morning ~!!. I'm split on playing PS2 or Borderlands 3 for today stream.
651,Neutral,Morning~!!. I'm split on playing PSO2 or Borderlands 3 for todays stream. 🤔. Either way a stream today is happening and I'm excited to hang out nonetheless!!. Hope your weekend was well. .  :3 pic.twitter.com/X0CrvuK8Pq
652,Neutral,1 Morning~!!. I'm split on playing PSO2 or Borderlands 3 for todays stream. 🤔. Either way a stream today is happening and I'm excited to hang out nonetheless!!. Hope your weekend was well. .  :3 pic.twitter.com/X0CrvuK8Pq
653,Neutral,we
654,Neutral,"‘Borderlands 3’ Turned Its Mayhem Modifiers Back On, And That Was A Mistake ie.jobwx.eu/Rg2956"
655,Neutral,"""Borderlands 3"" turned on its mayhem modifiers again, and that was a mistake ie.jobwx.eu / Rg2956"
656,Neutral,"""Borderlands 3"" turned on the Mayhem modifiers, and it was a mistake."
657,Neutral,"‘Borderlands 3’ Putting Its Mayhem Modifiers Back On, And That Sounds Huge Mistake ie.jobwx.eu/Rg2956"
658,Neutral,"‘ Borderlands 3 The ’ Turned Its Skin Mayhem Best Modifiers Come Back On, And Me That Was Only A Mistake ie. free jobwx. eu / Rg2956"
659,Neutral,"May 3’ Turned Its Mayhem War Back On, And That Enter the Issue ie.jobwx.eu/Rg2956"
678,Neutral,Borderlands 3 Chapter 1 youtu.be/0SKu6Vr4iXU via @YouTube Come Watch as I dive into a awesome Adventure :) Lets do this :D. @VxsSociety @SmallStreamersC
679,Neutral,Borderlands 3 Chapter 1 youtu.be / 0SKu6Vr4iXU via @ YouTube Come Watch me dive into a fantastic adventure:) Let's do this: D. @ VxsSociety @ SmallStreamersC
680,Neutral,Borderlands 3 Chapter 1 youtu.be / 0SKu6Vr4iXU via @ YouTube Come Watch as I dive into a awesome course:) Lets do this: D. @ VxsSociety @ SmallStreamsC
681,Neutral,Borderlands 3 D 1 competition.be/0SKu6Vr4iXU via @YouTube Come Watch as I dive explain a awesome idea :) Lets do this :D. @VxsSociety @SmallStreamersC
682,Neutral,Lost Borderlands Part 3 Chapter 1 youtu. de be / w 0SKu6Vr4iXU via @YouTube Come Watch as I wanna dive into such a awesome Secret Adventure : ) 3 Lets You do this : D. be @VxsSociety @SmallStreamersC
683,Neutral,Borderlands 3 Chapter 1 Download.be/0SKu6Vr4iXU or @YouTube then Watch whilst I dive into a Virtual Adventure :) Lets do without :D. 8 and
690,Neutral,A Noob Trys To Make A Salvador Build Borderlands 2 twitch.tv/lucasc_123
691,Neutral,A Noob tries to make A Salvador Build Borderlands 2 twitch.tv / lucasc _ 123
692,Neutral,Nub tries to force El Salvador to build border lands 2: tch.tv / lucasc _ 123
693,Neutral,A Noob Trys To Make A Salvador Build Borderlands 2 twitch.tv/lucasc_123
694,Neutral,from A Noob Trys To Make A Salvador Build Borderlands 2 twitch.tv/lucasc_123
695,Neutral,the
696,Neutral,Eli Roth is directing the ‘Borderlands’ movie engadget.com/2020/02/20/eli…
697,Neutral,"Eli Roth directs ""Borderlands"" engadget.com / 2020 / 02 / 20 / eli..."
698,Neutral,Elie to direct 'The Frontier' film
699,Neutral,Eli Roth is directing the Paramount picture engadget.com/2020/02/20/eli…
700,Neutral,Jonathan Eli Roth is directing All the ‘ Borderlands ’ movie from engadget. com / 2020 / 02 / 4 20 / 2015 eli …
701,Neutral,<unk><unk> was directing its ‘Borderlands’ movie engadget.com/2020/02/20/eli...
708,Neutral,"If Borderlands and Fallout had a child, it would be @OuterWorlds Love the game though! Terrific work 🤞. "
709,Neutral,"If Borderlands and Fallout had a child, it would be @ OuterWorlds Love the game though! Great work."
710,Neutral,"If Borderlands and Fallout had a child, it would be @ OWorlds Love the game though! Terrible work."
711,Neutral,"If Borderlands and Fallout had a child, it should be @OuterWorlds Love the company though! Terrific work 🤞."
712,Neutral,"If Borderlands and Fallout 5 had a third child, it would be @OuterWorlds for Love loves the game though! Terrific to work [UNK]."
713,Neutral,"If Borderlands and RPG had a cliche, it would be simply Love the game<unk>! Terrific work <unk>."
750,Neutral,Wine drunk playing the new Borderlands . . . Goddess life is a fun life.. . .  findom
751,Neutral,Wine drunk while playing the new Borderlands... The life of the goddess is a fun life..... findom
752,Neutral,Wine is drunk while playing the new Borderlands... The life of Goddess is a fun life... findom
753,Neutral,Wine drunk on the video Borderlands... Goddess life is a fun life....  findom
754,Neutral,Wine are drunk playing the new Borderlands... Goddess and life there is a much fun life.... findom
755,Neutral,Wine drunk playing the new music... our life as a mortal life.... findom
756,Neutral,"So, fun annoying thing @MeatballMissus and I just learned: There are two different versions of Borderlands: Game of the Year Edition on Steam, and they are not compatible with each other for online play."
757,Neutral,"So, fun with the annoying thing @ MeatballMissus and I just learned: There are two different versions of Borderlands: Game of the Year Edition on Steam, and they are not compatible for online games."
758,Neutral,"So the funny thing @ MeatballMissus and I have just learned is that there are two different versions of Borderlands: Game of the Year and on Steam, and they are not comparable to each other for online gaming."
759,Neutral,"So, fun annoying thing @MeatballMissus and PC just learned: There are always different versions of Borderlands: Game of the Year Edition on Steam, and they are always compatible via each other for online play."
760,Neutral,"So, the fun annoying thing @MeatballMissus and it I just learned : There are two substantially different versions of Borderlands : Game of the Future Year Complete Edition on the Steam, and even they are not compatible with each country other for online play."
761,Neutral,"little, fun annoying thing @MeatballMissus and others just learned: There are two different versions of Mario: Game for the Year Edition across Steam, and they are not compatible with each other for online purchases."
774,Neutral,Even tho i out leveled this grenade it’s still destroying everything in my path. Check it out: youtu.be/wpdGr4PH8Lo  
775,Neutral,"Even though I leveled this grenade, it still destroys everything that gets in my way. See also: youtu.be / wpdGr4PH8Lo"
776,Neutral,Even tho i out leveled this grenade it's still destroying everything in my path. Check it out: youtu.be / wpdGr4PH8Lo
777,Neutral,Even tho i out leveled this monster it’s still changing everything along my path. Check it out: youtu.be/wpdGr4PH8Lo
778,Neutral,2 Even tho i out o leveled this lone grenade it was ’ that s still destroying everything in my path. c Check it that out : youtu. be / wpdGr4PH8Lo
779,Neutral,Even tho i successfully leveled this grenade it’s seriously hurting everything in my path. slug it out: from.be/wpdGr4PH8Lo
798,Neutral,"I really like Randy Pitchford, he's been nothing but helpful to me. I hope this is all a mix up."
799,Neutral,"I really like Randy Pitchford, he just helped me. I hope it's all a mix-up."
